,year,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,country
0,2014,401,3,1,93,1391,1,0,0,3,96,0,55,49,36,98133,0
1,2014,866,5,2,406,1691,2,0,4,5,373,29,21,0,35,98119,0
2,2014,486,3,2,180,2185,1,0,0,4,182,0,66,0,18,98042,0
3,2014,705,3,2,191,1431,1,0,0,4,52,109,63,0,3,98008,0
4,2014,998,4,2,181,2016,1,0,0,4,70,85,76,36,31,98052,0
5,2014,874,2,1,35,1002,1,0,0,3,38,0,38,38,35,98115,0
6,2014,468,2,2,95,295,1,0,0,3,99,0,76,0,31,98052,0
7,2014,850,4,2,294,2803,2,0,0,3,293,0,89,0,21,98038,0
8,2014,780,3,2,254,2993,1,0,0,4,134,91,85,0,27,98045,0
9,2014,1146,4,2,125,955,1,0,0,3,127,0,45,54,35,98115,0
10,2014,805,3,1,151,1225,1,0,0,3,155,0,48,38,20,98155,0
11,2014,866,4,2,321,487,1,0,0,5,180,110,9,32,35,98105,0
12,2014,1067,3,1,240,2410,1,0,0,3,187,37,80,0,33,98074,0
13,2014,553,3,1,60,1016,1,0,0,4,63,0,55,53,35,98106,0
14,2014,866,5,2,320,1782,1,0,0,3,319,0,39,16,35,98105,0
15,2014,193,3,1,74,1853,1,0,0,4,78,0,65,0,18,98042,0
16,2014,703,3,1,130,1066,1,0,0,4,134,0,56,0,3,98007,0
17,2014,560,4,3,344,1192,2,0,0,3,344,0,97,0,1,98092,0
18,2014,246,3,1,98,881,1,0,0,3,103,0,87,44,10,98198,0
19,2014,293,3,1,72,1969,1,0,0,3,76,0,83,53,27,98045,0
20,2014,1312,3,1,227,2024,2,0,0,5,131,74,23,0,35,98115,0
21,2014,734,4,1,114,1642,1,0,0,4,117,0,54,23,3,98006,0
22,2014,1126,3,2,157,185,2,0,0,3,120,29,105,0,35,98102,0
23,2014,1109,4,2,296,2224,2,0,0,3,296,0,91,0,5,98011,0
24,2014,887,4,1,135,1002,1,0,0,3,69,50,59,33,35,98125,0
25,2014,316,3,2,207,2062,1,0,0,4,101,78,87,0,14,98003,0
26,2014,1111,3,1,245,1214,1,0,0,4,101,109,48,0,35,98136,0
27,2014,1241,4,2,222,2113,1,0,0,5,92,98,20,0,19,98033,0
28,2014,1207,5,2,310,2971,2,0,0,3,310,0,79,58,16,98029,0
29,2014,1361,3,2,278,648,1,0,0,4,154,98,51,43,35,98117,0
30,2014,601,4,1,129,1621,1,0,0,4,132,0,67,0,19,98034,0
31,2014,899,4,2,314,381,2,0,0,3,219,72,104,47,42,98072,0
32,2014,1162,4,2,169,702,1,0,1,3,145,18,45,54,35,98115,0
33,2014,1125,4,2,310,1553,2,0,0,3,310,0,114,0,36,98155,0
34,2014,650,4,2,404,2880,1,0,0,3,235,142,79,58,1,98092,0
35,2014,1095,3,2,359,2759,2,0,2,3,358,0,95,0,14,98023,0
36,2014,750,2,1,27,673,1,0,0,4,29,0,44,0,35,98107,0
37,2014,321,3,3,172,2590,1,0,0,4,63,81,92,0,21,98038,0
38,2014,655,3,2,184,2299,1,0,2,5,146,32,57,0,26,98166,0
39,2014,1312,3,2,249,1033,1,0,2,4,115,104,55,53,35,98116,0
40,2014,468,3,2,132,2474,1,0,0,4,136,0,78,44,13,98024,0
41,2014,253,4,2,118,1609,1,0,0,4,121,0,74,0,32,98055,0
42,2014,384,2,1,32,947,1,0,0,4,35,0,50,27,36,98155,0
43,2014,748,3,2,161,328,2,0,0,3,165,0,90,53,35,98116,0
44,2014,173,2,1,75,1769,1,0,0,2,79,0,49,0,35,98106,0
45,2014,407,3,1,69,1720,1,0,0,3,74,0,68,41,42,98077,0
46,2014,740,3,2,185,2786,2,0,0,4,187,0,77,0,16,98027,0
47,2014,670,3,2,180,2009,2,0,0,3,182,0,96,0,32,98059,0
48,2014,763,3,2,84,78,3,0,0,3,88,0,101,0,35,98107,0
49,2014,1410,4,2,367,2881,2,0,0,3,365,0,101,0,31,98052,0
50,2014,1131,4,2,294,2824,2,0,0,3,293,0,100,0,16,98027,0
